attraction,attraction_city,mo_yr_posted_final,mo_yr_visited,num_contributions_user,num_helpful_user,num_helpful_votes,rating,rev_text,rev_title,user,user_loc
Central Park,New York City,Dec 2020,January 2020,1,0,0,5,Great place to walk around even when it is frigid. I would definitely say take a coat during the winter!,Cold but Good,A Name,
Central Park,New York City,Dec 2020,December 2020,12,0,0,4,"Its always free to go walking around the park, even better when the park is lively and gives you a sense of normalcy even at 6 feet part just to walk around and look at the street performer and famous spots in the park",FUN DURING COVID ,Drea T,
Central Park,New York City,Dec 2020,January 2020,25,5,0,5,The park is well maintained and something to look at round every corner. You could spend all day here if you wanted too. Well worth a visit.,A beautiful place,Frankie S,
Central Park,New York City,Dec 2020,January 2020,12,0,0,1,Terrible so much happened: -Was nearly kidnapped by the mob but at least he was kind of hot though and he broke my target heels -Bunch of disgusting people there who looked like they were dragged out of a furnace. -I thought it would be perfectly legal to kill and stuff a squirrel to take home but just as I was throwing a rock at its head some on the disgusting Yanks came over and handcuffed me with some pink fluffy ones. -Overall not a nice park didn't have the aesthetic feel. Raw fish everywhere and didn't like it,YANKS!!!!!!!!!,Karen Stuart,"Perth, Australia"
Central Park,New York City,Nov 2020,December 2020,2,0,0,5,"NYC - Frank Sinatra November 30.2020 I really Miss You Broadway, Lincoln Center, Jazz , Comedy clubs and many more... I think of all above all the time. You inspire all of us with extreme determination, talent and hard work. Not only that you gave us a time to stop from phones .....you make us to focus, listen, on performance. Sometimes I imagine my self sitting in the audience, watch the performance. It feels right, powerful and looking forward to be there in real time 💕 Love you Eva",NYC ,Social,
Central Park,New York City,Feb 2020,December 2019,685,240,0,5,"We walked to the Metropolitan Musuem of Art via Central Park. We started in Strawberry Fields the tribute to John Lennon near The Dakota, home of Yoko Lennon. We saw the Bow Bridge, Bethesda statue, children’s area, including Hans Christian Anderson and Alice In Wonderland statues. It had snowed the night before and that added a quiet beauty to each area we walked through. Central Park is amazing in its conception and completion. It is enjoyable at any time of the year.",Enjoyed the highlights in December,MSUmindy,"Shelby, Michigan"
Central Park,New York City,Feb 2020,February 2020,41,19,0,4,Just get out those flat shoes and walk your way arounf this piece of NYC life. The quiet is deafening.,A peaceful stroll,Rachie1260,"Cumbria, United Kingdom"
Central Park,New York City,Feb 2020,January 2020,14,18,1,5,"Solo travelling sometimes nice to get out of a city.Central Park an amazing space ,accessed it from 57th St and walked probably 75% way round.So many designated areas free to use for children of all ages(Britain take note),play areas,basket ball , squash and tennis and some paid for like the ice skating but not expensive.A pleasure to walk tound the lake and the reservoir and just take in the sounds of the buskers and street entertainers. Spent 4/5 hours her.Wonderful!",Amazing space.Family friendly,Solotour,
Central Park,New York City,Feb 2020,February 2020,59,31,0,5,"Central Park is beautiful and well maintained (cleaner than the rest of the city). There are many beautiful paths, small lakes and an internal 6 mile road loop free of cars. Great for sitting on a bench and doing some people watching.",I visit whenever in NYC,Jarb1946,"Washington DC, District of Columbia"
Central Park,New York City,Feb 2020,December 2019,23,21,1,5,"Have visited Central Park several times and still haven't seen it all The last time was in December and it started to snow, freezing but amazingly beautiful make sure you allow a whole day for this adventure there is so much to see in the park, from the Alice in Wonderland statue to the boating lake several different fountains and John Lennons strawberry fields just to mention just a few. The zoo is small but worth a visit I love the snow leopard. This is such a contrast to the rest on Manhattan island so peaceful and you can seriously lose yourself (get a map)",Most beautiful place in the midst of chaos,Gillian,"Weston super Mare, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,181,84,1,5,"The Park is beautiful and so well maintained. This trip we went down to the lake, the boat house, Strawberry Fields and the Bethesda commonly known as being featured in Friends. We enjoyed seeing the park on a crisp winter's day. Such a contrast from the height of summer but beautiful nonetheless. Seeing so many people congregated at Strawberry Fields' Imagine mosaic really brought home how much John Lennon meant to the people and how much the Park meant to John Lennon. The mall is a good walk through to the lake from the park entrance at 59th street. Street artists and vendors add a bit of vibe. If in NYC this is a must see.",WOW! BEAUTIFUL PARK WITH LOADS TO DO AND SEE,SINGITLOUDSO,Belfast
Central Park,New York City,Feb 2020,February 2020,253,22,0,5,"Central Park is a place I have longed to visit and now having done so we were not disappointed. We travelled by train from downtown Manhattan which took about 20 minutes. First stop on our trip was Strawberry Fields to see the Imagine mosaic, we then took a 2 hour stroll around this end of the park. We went back the following morning (Sunday) and were greeted by clear blue February skies which made the park look even more beautiful. Highlights for us were, the bridges, lakes, public art and the wild birds. Plenty of public toilets and places to get a hot drink to warm you up. What a fantastic place.",One of the Worlds Finest Parks,k8rew,"Liverpool, United Kingdom"
Central Park,New York City,Feb 2020,June 2019,571,81,0,5,I have been her twice now- and it’s a lot bigger than you would imagine! Some areas are a lot more picturesque than others! But it’s fun walking around and spotting places that have been used in different films and tv shows that we have watched!,Lovely area to escape the big city! ,Tring4,"Tring, United Kingdom"
Central Park,New York City,Feb 2020,January 2020,15,2,0,5,"I live in nature so I didn't expect to be impressed with another park, but surrounded by skyscrapers the view is one of a kind.",One of a kind,Sonya S,"Royal, Nebraska"
Central Park,New York City,Feb 2020,February 2020,753,137,0,5,"There are a couple of places you can read reviews for Central Park on TripAdvisor, so I wasn't sure where best to leave a post. Like so many people, I grew up in NYC, even saw concerts there during the summer, yet I don't know the park at all. Frederick Olmsted designed the park to be welcoming and inclusive to all regardless of class and most importantly he wanted the park to be and seem natural. Of course you can enter the park and wander, but way more interesting is to book a walking tour through the Central Park site. The fees are reasonable, you learn a lot and part of the fee goes right back into the park. In Central Park there's a Carousel, an Ice Rick, a Boat Basin, a Childrens Zoo, Playground, playing fields, rocks so smooth you can slide down them, promenades, quiet pathways. So much. The tours will really enhance your visit.",To truly appreciate the park take one of the  Central Park  Walking Tours,cjyap,"Griswold, Connecticut"
Central Park,New York City,Feb 2020,February 2020,184,32,0,4,Large park where you can walk for hours. Unfortunately there are not a lot of options to drink or eat,Central park,Johan V,"Begijnendijk, Belgium"
Central Park,New York City,Feb 2020,August 2019,12,1,0,5,Park was wonderful....thoroughly enjoyed this place more than the hotel. Take an evening stroll...it is very safe as there were polic officers checking up on people,Excellent,cabin crew 2020,
Central Park,New York City,Feb 2020,February 2020,52,32,0,5,"Nice to escape the city for a while. Great to see the city dwellers and tourists sharing this fantastic open space. Kids can check out the zoo within. Lots of space for all kinds of recreational hobbies, bike tracks, jogging tracks , play fields , picnic / rest areas plus wide pavements so nobody gets in each other’s way...",Chill out time,a8420626,"Tamworth, United Kingdom"
Central Park,New York City,Feb 2020,December 2019,27,36,1,5,"When visiting Central Park i went on an organised tour, we were taken to some awesome sights, shown where movies were filmed ETC. For a tourist to this town it was very enjoyable",Brilliant,Frank,"Altona, Australia"
Central Park,New York City,Feb 2020,February 2020,292,77,1,4,"Central Park can be a great place to spend time, or a boring one - it all depends on your time and plans. On the one hand, if it's not raining or if you do not mind the cold in the winter, you can sit on the grass, on benches, wherever, and enjoy up and coming performers singing or playing, jog, Frisbee with friends or just enjoy a few rays of sun. On the other hand, if you have no idea what to do there, just avoid the Park...",You really have to know what to look for,ronger5,Israel
Central Park,New York City,Feb 2020,February 2020,19,10,1,3,"For us it was a must see because we are avid watchers of SVU, but we could have passed on it in its present state. No doubt it would be a sight to see in snow or fall foliage. We will check it out next time during those seasons.",No Snow and No Fall Colors,Mich J,
Central Park,New York City,Feb 2020,February 2020,150,146,1,5,We loved our time in Central Park. We took the 45 minute horse and carriage ride and although pricey it was well worth it. We were lucky that the weather was sunny and mild and our driver was so informative. It was amazing to see the areas where so many movies were filmed and to see the apartments where the stars lived. Would dfinitely recommend.,Loved it!,William G,"Edinburgh, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,"1,828",181,0,4,"It was a very windy, freezing Friday afternoon. Nevertheless, the view was nice! Despite the freezing temperature, there were joggers.",Reservoir(?) by the Guggenheim,Elsa C. L,"New York City, New York"
Central Park,New York City,Feb 2020,February 2020,13,2,0,4,"Walked around the inner track near the Jackie Onassis reservoir while strolling from the Met to the Guggenheim today. We had a few days of rain and the track was muddy. Otherwise, a beautiful stroll - even in winter.",Muddy after a rain,Bob S,"High Point, North Carolina"
Central Park,New York City,Feb 2020,January 2020,67,9,0,5,You can go more than once to Central Park and you are going to have things to do. It’s beautiful and charming. It looks like you are inside a movie. Visit the tribute to John Lennon- Imagine. There are always artists singing around .,Adorable,Michele Z,"Cacador, SC"
Central Park,New York City,Feb 2020,February 2020,10,3,0,5,"This is such a delightful place to walk. We felt very safe and totally enjoyed seeing the surrounding buildings, statues, grand trees, bridges and locations used in movies and TV shows. The restrooms are immaculate. There is food if you choose to eat.. a great way to get the true feeling on NYC.",Walk through history...,Pam W,
Central Park,New York City,Feb 2020,February 2020,222,78,2,5,"I love Central Park. It’s got tons of interesting landmarks and architecture. Plus lakes, streams, ice rink, and wildlife. After a day or two pounding the pavement around NYC - it’s always nice to have a quiet respite and to me Central Park does that. Central Park Conservatory offers cheap tours. They’re conducted by volunteers and we took one almost by accident. It was great providing tons of history and local tidbits. Plus the tour benefits the park conservatory and helps put money into the maintenance.",Love the park ,Courtney,"Anchorage, Alaska"
Central Park,New York City,Feb 2020,November 2019,61,30,1,5,"No matter what season of the year you step into Central Park, it always has a beauty, a serenity and a vitality that refreshes you no matter how frenetic the pace of life may be for you outside of its boundaries.",The great oasis in the center of the city!,BeenThereEnjoyedThat,
Central Park,New York City,Feb 2020,February 2020,5,0,0,5,"I enjoy Central Park any time of the year, every my trip, wonderful unforgetable experience. You will never forget.",always great,JackieRosedalen,"Paris, France"
Central Park,New York City,Feb 2020,February 2020,89,27,1,5,So if your in NYC you must do the Central Park... it’s massive and there is so much history relating to the films you would have seen. It’s really nice and romantic. They also have a zoo there that is worth checking it. They have bourse and cart also if you really want to set the mood going round Central Park listening to some history and getting to no the place a bit better.,CENTRAL PARK NYC,lsmith677,"Essex, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,32,3,0,5,"A unique experience in New York .... definitely. There are so many things to do on it, but I prefer to share my experience as a ""runner"". 2 years ago my doctor has suggested increasing my time in anaerobic activities. After my first run in Central Park, my approach to work-out hasn't been more the same. I cannot transfer on this review all my so amazing sensations but I would like to say: don't' leave New York without to run in central park. you will remember it for the rest of your life.",running here is unique experience,Tarcisio P,"New York City, New York"
Central Park,New York City,Feb 2020,January 2020,44,16,1,5,"Although January and freezing cold we spent hours wandering along the winding paths through central park. It is a lovely escape from the manic city, and so peaceful.",Peaceful escape from the city,Abs,"Cambridgeshire, United Kingdom"
Central Park,New York City,Feb 2020,December 2019,7,0,0,5,This is as advertised on most magazines and all the best place in NYC. Not very close to downtown but take the subway and you can just get to the Brooklyn bridge and everywhere else. We had a great walk and horse ride.,The greatest visit ever,Maragret L,"Los Angeles, California"
Central Park,New York City,Feb 2020,November 2019,807,74,1,5,Having been to NY many times and never managing to visit I finally planned a trip including a few hours in the Park. It was not enough and I will definitely be back. A colourful haven (in Autumn) within the grey city that we walked in for hours. We petted the horses though we didn't take a ride and we climbed the 'castle' to see the view. The turtles were about in abundance which was an added treat.,You forget you're in the City,lsgoldblatt,"London, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,25,6,0,5,"Took a horse drawn carriage ride through central park and it was a great way to see the park. John Phair was our driver and he provided lots of interesting facts about Central Park, NYork, and surrounding properties. The carriage had a top that can close to cover you in case of rain and a blanket in case of cold. The horse drawn carriages are a better deal and more comfortable than the bicycle carriages. The horse drawn carriages are licensed and the bicycle ones are not. The drivers are super nice. Our driver gave us a carrot to feed our horse, Roger. He also allowed us time to take pictures next to the horse and carriage. After our tour we walked about 5 minutes to eat at Tavern on the Green.",Horse Drawn Carriage Great,538leslieh,"Monroe, Ohio"
Central Park,New York City,Feb 2020,December 2019,2,0,0,5,"Who would have ever though such a beautiful park could exist in an overcrowded city? No matter what the season, Central Park is a thrill to see. In the winter, ice skating is a must, in the spring and fall, a walk around the winding trails is relaxing, and for those who like tennis -- their 26 soft courts and 4 hard and worth the trip. There is something for everyone in this massive landscaped park. Go enjoy!!!!",A MUST SEE!!!,Nic C,"New York City, New York"
Central Park,New York City,Feb 2020,February 2020,5,0,0,5,One of the many visits to this park . It is truly a wonder and I love going there in all four seasons,Winter jam,Ayesha,
Central Park,New York City,Feb 2020,January 2020,74,18,0,5,"This really is an oasis of tranquility in a bustling city,we walked from Midtown all the way to nearly the top of the park, stopping to chat to locals along the way, coffee, pretzel and an obligatory hot dog !!",4 hours just walking around the park,Ian R,"Newcastle upon Tyne, United Kingdom"
Central Park,New York City,Feb 2020,October 2019,7,1,0,5,Fabulous city just like the movies!! have been here seven times and ran the marathon. Beautiful park in the heart of one of the most vibrant cities in the world.,Must see book now!!,mcintosh085,"Dundee, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,3,0,0,5,The most beautiful park in every season! Music nature people theater art sports and love. The hea and sole of New York City.,Saturday In The Park,Eric,
Central Park,New York City,Feb 2020,October 2019,28,5,1,5,Beautiful views. The park is huge. Be prepared to spend a few hours. Enough time to take in all the goodness of the environment.,Central Park ,Donald,"Cape Town, South Africa"
Central Park,New York City,Feb 2020,February 2020,4,2,0,5,"Central Park New York is the center of vibe and magical energy. This park represents New York City. It’s an icon it well kept and safe. Walking in Central Park allows me to enter into another dimension. It’s as large as the the state of Monaco. Goest from East to west and north and south. It the lung of New York City. Walk, sit, watch and bring home it’s magical vibes.",The center of magic,PrinceBianco,"New York City, New York"
Central Park,New York City,Feb 2020,July 2019,11,0,0,5,The very first reason we visited Central Park is because we saw this place in the movie HOME ALONE . This park is so big we recommend that you explore the park using a bike or you'll get tired walking around. It has so many breathtaking sceneries just like a forest turned into a park.,The Famous Central Park of NYC!,Lucy Beltran,"Mandaluyong, Philippines"
Central Park,New York City,Feb 2020,June 2019,10,2,0,5,"A serene , green cover for the polluted New York city. Excellent maintenance, well preserved. Has something for every one: for nature lovers, for cyclists, hikers, romantics. A must for every visitor to new York.",The lungs of Newyork city. Well maintained and preserved.,Chandramohan,"Manama, Bahrain"
Central Park,New York City,Feb 2020,October 2019,3,0,0,5,"Exactly like the movies!! It is recommended for a walk, running, coffee, photograph. Great park. You need many days if you want to see it!",GREAT PARK!,ellouko_1,"Athens, Greece"
Central Park,New York City,Feb 2020,January 2020,47,25,1,4,"Didn't feel the need to visit in mid January, ignore me and walk 'round a beautiful park and relax, has to be seen to be believed. wonderful place, so glad we visited.",wonderful,Paul J,"Manchester, United Kingdom"
Central Park,New York City,Feb 2020,June 2019,27,2,0,5,"Great memories every time I adventure in Centeal Park! Remember the jogging, the horseback riding at the time of Clermont and the many afternoon playing soccer when was not yet a popular game! Still now can get great vibes when crossing the Park, not to mention the beautiful views of the Manhattan skyline!",Beautiful park,gabrieletobago,Tobago
Central Park,New York City,Feb 2020,December 2019,61,35,1,5,"By far the best city park! The Central park is spotless, very clean, very well protected and the views of the city are breathtaking!",Great walk in the park!,Gas82,"Athens, Greece"
